Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
13/09/14,Bastia,Lens,1.0,1.0,D,9.0,6.0,4.0,2.0,8.0,2.0,12.0,9.0,1.0,2.0,0.0,0.0
13/09/14,Montpellier,Lorient,1.0,0.0,H,11.0,11.0,1.0,4.0,3.0,3.0,11.0,16.0,1.0,2.0,0.0,0.0
13/09/14,Nice,Metz,1.0,0.0,H,9.0,12.0,2.0,1.0,8.0,3.0,11.0,20.0,1.0,2.0,0.0,0.0
13/09/14,Reims,Toulouse,2.0,0.0,H,6.0,14.0,3.0,1.0,3.0,5.0,14.0,14.0,0.0,0.0,0.0,0.0
13/09/14,Rennes,Paris SG,1.0,1.0,D,5.0,8.0,2.0,5.0,1.0,2.0,11.0,5.0,1.0,1.0,0.0,0.0
13/09/14,St Etienne,Caen,1.0,0.0,H,12.0,5.0,3.0,1.0,6.0,2.0,8.0,13.0,0.0,2.0,0.0,0.0
14/09/14,Evian Thonon Gaillard,Marseille,1.0,3.0,A,10.0,6.0,1.0,4.0,5.0,3.0,13.0,11.0,1.0,0.0,0.0,0.0
14/09/14,Guingamp,Bordeaux,2.0,1.0,H,11.0,7.0,6.0,2.0,2.0,4.0,14.0,10.0,0.0,2.0,0.0,0.0
14/09/14,Lille,Nantes,2.0,0.0,H,13.0,10.0,5.0,3.0,5.0,5.0,18.0,21.0,2.0,1.0,0.0,0.0
19/09/14,Bordeaux,Evian Thonon Gaillard,2.0,1.0,H,7.0,8.0,2.0,2.0,4.0,7.0,12.0,16.0,0.0,2.0,0.0,0.0
20/09/14,Lorient,Reims,0.0,1.0,A,6.0,7.0,0.0,3.0,3.0,1.0,9.0,15.0,1.0,2.0,0.0,0.0
20/09/14,Marseille,Rennes,3.0,0.0,H,16.0,13.0,7.0,5.0,7.0,5.0,16.0,22.0,1.0,1.0,0.0,0.0
20/09/14,Metz,Bastia,3.0,1.0,H,19.0,10.0,9.0,1.0,4.0,4.0,12.0,12.0,1.0,2.0,0.0,0.0
20/09/14,Nantes,Nice,2.0,1.0,H,19.0,4.0,4.0,2.0,10.0,4.0,14.0,11.0,0.0,1.0,0.0,0.0
20/09/14,Toulouse,Caen,3.0,3.0,D,23.0,12.0,7.0,5.0,4.0,6.0,10.0,15.0,2.0,3.0,0.0,0.0
21/09/14,Lens,St Etienne,0.0,1.0,A,9.0,15.0,4.0,3.0,5.0,7.0,15.0,13.0,2.0,2.0,0.0,0.0
21/09/14,Lille,Montpellier,0.0,0.0,D,13.0,5.0,2.0,0.0,7.0,4.0,15.0,10.0,0.0,0.0,0.0,0.0
21/09/14,Monaco,Guingamp,1.0,0.0,H,19.0,3.0,7.0,2.0,6.0,2.0,15.0,17.0,3.0,2.0,0.0,0.0
21/09/14,Paris SG,Lyon,1.0,1.0,D,12.0,9.0,3.0,5.0,4.0,2.0,13.0,17.0,3.0,1.0,0.0,0.0
23/09/14,Reims,Marseille,0.0,5.0,A,10.0,21.0,3.0,11.0,3.0,6.0,17.0,14.0,1.0,1.0,0.0,0.0
23/09/14,Rennes,Toulouse,0.0,3.0,A,16.0,9.0,4.0,5.0,6.0,7.0,14.0,10.0,3.0,3.0,0.0,0.0
24/09/14,Bastia,Nantes,0.0,0.0,D,4.0,14.0,0.0,2.0,4.0,6.0,11.0,17.0,2.0,2.0,1.0,0.0
24/09/14,Caen,Paris SG,0.0,2.0,A,14.0,16.0,3.0,8.0,2.0,3.0,7.0,8.0,0.0,0.0,0.0,0.0
24/09/14,Evian Thonon Gaillard,Lens,2.0,1.0,H,14.0,9.0,3.0,4.0,4.0,2.0,7.0,16.0,0.0,0.0,0.0,0.0
24/09/14,Guingamp,Metz,0.0,1.0,A,12.0,9.0,1.0,4.0,7.0,8.0,10.0,29.0,1.0,2.0,0.0,1.0
